Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,74.991764,62.745,90.0,top
C1,91.491764,124.438422,180.0,top
C10,89.19364,116.916716,90.0,top
C11,91.82055,116.245558,0.0,top
C12,80.551399,114.436991,90.0,top
C13,91.836904,115.174382,0.0,top
C14,88.491764,104.345,0.0,top
C15,90.291764,109.345,270.0,top
C16,86.258494,116.945,90.0,top
C17,85.205628,116.945,90.0,top
C18,88.489775,105.452286,0.0,top
C19,88.056343,116.366781,90.0,top
C2,90.725865,117.423034,180.0,top
C3,78.595535,127.067637,90.0,top
C39,69.791764,119.445,0.0,top
C4,72.891764,131.665642,270.0,top
C41,69.767728,81.167508,0.0,top
C43,69.756956,60.738731,0.0,top
C45,69.791764,100.110302,0.0,top
C47,70.724471,55.875831,180.0,top
C5,82.391764,103.245,225.0,top
C6,73.958387,127.045,180.0,bottom
C7,87.074989,103.029173,135.0,top
C8,74.412587,127.337504,270.0,top
C9,91.291764,118.745,180.0,top
D1,-28.758236,125.845,90.0,bottom
D10,28.191764,114.145,90.0,bottom
D11,47.291764,111.745,90.0,bottom
D12,66.291764,109.445,90.0,bottom
D13,-28.708236,87.945,90.0,bottom
D14,-9.708236,87.945,90.0,bottom
D15,9.291764,92.745,90.0,bottom
D16,28.291764,95.145,90.0,bottom
D17,47.291764,92.745,90.0,bottom
D18,66.291764,90.445,90.0,bottom
D19,-28.708236,68.945,90.0,bottom
D2,-9.658236,125.845,90.0,bottom
D20,-9.708236,69.045,90.0,bottom
D21,9.291764,73.645,90.0,bottom
D22,28.241764,76.145,90.0,bottom
D23,47.291764,73.645,90.0,bottom
D24,66.291764,71.445,90.0,bottom
D25,-26.308236,49.995,90.0,bottom
D26,-0.708236,50.145,74.0,bottom
D27,19.841764,53.545,85.0,bottom
D28,40.291764,53.345,93.0,bottom
D29,60.591764,50.145,102.0,bottom
D3,9.141764,130.595,90.0,bottom
D30,84.491764,51.545,27.0,bottom
D4,28.291764,133.545,90.0,bottom
D5,47.291764,130.945,90.0,bottom
D6,66.241764,128.545,90.0,bottom
D61,94.666073,82.58146,90.0,bottom
D7,-28.808236,106.945,90.0,bottom
D8,-9.708236,106.945,90.0,bottom
D9,9.191764,111.645,90.0,bottom
F1,92.091764,127.345,270.0,top
J1,86.450621,131.227621,180.0,top
J2,89.091764,105.045,180.0,bottom
J3,91.216764,122.77,0.0,bottom
LED1,-31.858236,121.265,0.0,bottom
LED10,25.141764,109.465,180.0,bottom
LED11,44.221764,107.035,180.0,bottom
LED12,63.171764,104.715,180.0,bottom
LED13,-31.828236,83.245,0.0,bottom
LED14,-12.828236,83.275,0.0,bottom
LED15,6.171764,88.055,0.0,bottom
LED16,25.171764,90.485,0.0,bottom
LED17,44.171764,88.015,0.0,bottom
LED18,63.171764,85.745,0.0,bottom
LED19,-31.808236,64.265,180.0,bottom
LED2,-12.858236,121.265,0.0,bottom
LED20,-12.858236,64.265,180.0,bottom
LED21,6.191764,68.965,180.0,bottom
LED22,25.141764,71.515,180.0,bottom
LED23,44.191764,69.015,180.0,bottom
LED24,63.141764,66.715,180.0,bottom
LED25,-29.458236,45.265,0.0,bottom
LED26,-2.357998,44.71179,344.0,bottom
LED27,17.134515,48.584331,355.0,bottom
LED28,36.975898,48.821962,3.0,bottom
LED29,56.585573,46.12601,12.0,bottom
LED3,6.141764,126.015,0.0,bottom
LED30,87.418077,46.538728,297.0,bottom
LED4,25.141764,128.465,0.0,bottom
LED5,44.191764,126.025,0.0,bottom
LED6,63.191764,123.675,0.0,bottom
LED7,-31.858236,102.265,180.0,bottom
LED8,-12.808236,102.265,180.0,bottom
LED9,6.141764,106.995,180.0,bottom
MX1,-31.858236,126.345,0.0,bottom
MX10,25.141764,114.545,0.0,bottom
MX11,44.221764,112.115,0.0,bottom
MX12,63.171764,109.795,0.0,bottom
MX13,-31.828236,88.325,0.0,bottom
MX14,-12.828236,88.355,0.0,bottom
MX15,6.171764,93.135,0.0,bottom
MX16,25.171764,95.565,0.0,bottom
MX17,44.171764,93.095,0.0,bottom
MX18,63.171764,90.825,0.0,bottom
MX19,-31.808236,69.345,0.0,bottom
MX2,-12.858236,126.345,0.0,bottom
MX20,-12.858236,69.345,0.0,bottom
MX21,6.191764,74.045,0.0,bottom
MX22,25.141764,76.595,0.0,bottom
MX23,44.191764,74.095,0.0,bottom
MX24,63.141764,71.795,0.0,bottom
MX25,-29.458236,50.345,0.0,bottom
MX26,-3.758236,49.595,344.0,bottom
MX27,16.691764,53.645,355.0,bottom
MX28,37.241764,53.895,3.0,bottom
MX29,57.641764,51.095,12.0,bottom
MX3,6.141764,131.095,0.0,bottom
MX30,82.891764,48.845,297.0,bottom
MX4,25.141764,133.545,0.0,bottom
MX5,44.191764,131.105,0.0,bottom
MX6,63.191764,128.845,0.0,bottom
MX7,-31.858236,107.345,0.0,bottom
MX8,-12.808236,107.345,0.0,bottom
MX9,6.141764,112.075,0.0,bottom
R1,88.291764,89.745,270.0,top
R10,87.178681,97.745,90.0,top
R11,85.894533,104.666806,270.0,top
R12,74.391764,68.245,90.0,top
R13,75.651158,68.242538,270.0,top
R14,76.879228,68.256337,270.0,top
R2,87.689743,94.937264,90.0,top
R3,77.777553,131.109625,270.0,top
R4,86.604271,119.345,90.0,top
R5,90.293266,127.900546,270.0,top
R6,87.691764,119.345,90.0,top
R7,84.691764,127.945,270.0,top
R8,75.382478,133.740834,90.0,top
R9,76.346638,127.374986,270.0,top
RST1,82.091764,95.545,0.0,top
SPLIT_L1,91.111764,92.44,90.0,top
SW1,85.441764,78.945,0.0,top
U1,80.491764,121.145,0.0,top
U2,87.165356,126.745,270.0,top
U3,85.400099,111.11614,90.0,top
U4,91.491764,121.745,270.0,top
U5,75.359989,130.524912,270.0,top
U6,73.491764,123.745,270.0,bottom
Y1,84.95762,101.76293,135.0,top
